date,total_pnl,num_trades,avg_size,total_volume,wins,losses,longs,shorts,win_rate,ls_ratio,fg_index,sentiment,sentiment_enc,next_day_pnl,target,pnl_std,vol_bucket
2024-03-29,883.097404,15,5794.291333333333,86914.37,6.0,0.0,15.0,0.0,0.9999999998333333,15000000000.0,79.0,Extreme Greed,1,1100.57514,1,1108.5943542144676,Low
2024-03-30,1100.57514,45,2246.753777777778,101103.92,44.0,0.0,45.0,0.0,0.9999999999772728,45000000000.0,75.0,Extreme Greed,1,912.786145,1,1019.3013938493795,Low
2024-03-31,912.786145,13,3070.2276923076925,39912.96,10.0,0.0,10.0,3.0,0.9999999999,3.3333333322222223,75.0,Extreme Greed,1,2507.963406,1,1021.5547533058127,Low
2024-04-01,2507.963406,77,4408.7074025974025,339470.47,42.0,1.0,69.0,9.0,0.9767441860237968,7.666666665814815,79.0,Extreme Greed,1,883.760812,1,1152.0254028829238,Low
2024-04-02,883.760812,41,5845.475853658536,239664.50999999998,12.0,0.0,16.0,25.0,0.9999999999166667,0.6399999999744,79.0,Extreme Greed,1,126.7884,1,776.8498549724338,Low
2024-04-03,126.7884,4,4221.8925,16887.57,1.0,0.0,4.0,0.0,0.9999999989999999,3999999999.9999995,71.0,Greed,3,0.0,0,780.9545922293137,Low
2024-04-04,0.0,32,2999.6165625,95987.73,0.0,0.0,0.0,32.0,0.0,0.0,70.0,Greed,3,10706.484306,1,819.8025607441595,Low
2024-04-05,10706.484306,100,5037.918,503791.8,90.0,0.0,93.0,7.0,0.9999999999888889,13.285714283816326,79.0,Extreme Greed,1,236.33513399999998,1,3787.942643487855,Low
2024-04-06,236.33513399999998,16,4263.979375,68223.67,4.0,0.0,4.0,12.0,0.99999999975,0.33333333330555553,75.0,Extreme Greed,1,0.0,0,3847.9131176345104,Low
2024-04-07,0.0,23,2173.397391304348,49988.14,0.0,0.0,0.0,23.0,0.0,0.0,78.0,Extreme Greed,1,1218.4267,1,3913.564387269666,Low
